Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Rand->Albument,3,45.6,1.706564871570732,3.2945330142974854
Rand->Albument,4,50.36,1.6457482847986342,4.064076900482178
Rand->Albument,5,50.96,1.5495203552366812,3.254459857940674
Rand->Albument,6,52.41,1.5265782890440542,3.1856298446655273
Rand->Albument,7,54.27,1.4823402015468743,3.1349949836730957
Rand->Albument,8,55.81,1.4103273983243145,3.109088897705078
Rand->Albument,9,56.64,1.369231463987616,3.1427061557769775
Rand->Albument,10,58.65,1.3324412484712238,3.1182467937469482
Rand->Albument,11,57.91,1.2914797429797016,3.1547329425811768
Rand->Albument,12,60.33,1.2801149947733819,3.112086772918701
Rand->Albument,13,60.41,1.2459931396230866,3.1429600715637207
Rand->Albument,14,60.22,1.2635671866090992,3.139599084854126
Rand->Albument,15,62.23,1.222625291045708,3.1261487007141113
Rand->Albument,16,61.97,1.1755479468575007,3.191837787628174
Rand->Albument,17,62.77,1.1828871731516681,3.1098742485046387
Rand->Albument,18,63.29,1.1209652212601673,3.1457722187042236
Rand->Albument,19,64.23,1.1003694579571108,3.173825740814209
Rand->Albument,20,61.75,1.1208728393421898,3.190108060836792
Rand->Albument,21,64.02,1.0689430025559437,3.660569906234741
Rand->Albument,22,63.05,1.0469704360901555,3.428086996078491
Rand->Albument,23,63.19,1.053877903690821,3.2065160274505615
Rand->Albument,24,63.38,1.023685314987279,3.252647876739502
Rand->Albument,25,64.72,1.015555406673045,3.2992546558380127
Rand->AugMix,1,38.71,2.0998139275780208,6.222651720046997
Rand->AugMix,2,43.2,1.8002567517606518,6.238739967346191
Rand->AugMix,3,46.85,1.6823295369932922,6.077627182006836
Rand->AugMix,4,49.08,1.6144033760964116,5.947535037994385
Rand->AugMix,5,51.15,1.544203540946864,5.822400093078613
Rand->AugMix,6,52.99,1.4984823178641404,5.845557928085327
Rand->AugMix,7,54.11,1.4361082949215853,6.2759850025177
Rand->AugMix,8,55.14,1.3559857772875437,6.02059531211853
Rand->AugMix,9,57.29,1.3362696004819266,6.000179052352905
Rand->AugMix,10,56.42,1.278729264494739,5.947628974914551
Rand->AugMix,11,58.36,1.2565798578383047,5.8966968059539795
Rand->AugMix,12,59.2,1.215573488911496,5.8937389850616455
Rand->AugMix,13,58.15,1.1576918273032466,6.147253036499023
Rand->AugMix,14,59.0,1.1521372780015198,6.322197914123535
Rand->AugMix,15,59.95,1.1179857827440094,5.959476947784424
Rand->AugMix,16,60.14,1.075169554994076,5.967565059661865
Rand->AugMix,17,61.73,1.0624632842933075,6.1268699169158936
Rand->AugMix,18,61.78,1.0535999785495709,5.952445030212402
Rand->AugMix,19,62.21,0.9986210763454437,6.388373136520386
Rand->AugMix,20,60.68,0.985031908825983,6.1737329959869385
Rand->AugMix,21,62.28,0.9646072787574574,6.065871238708496
Rand->AugMix,22,62.67,0.9381923215298713,6.309764862060547
Rand->AugMix,23,61.83,0.9111957806575147,6.248220920562744
Rand->AugMix,24,61.63,0.8733862057516847,6.521804094314575
Rand->AugMix,25,62.98,0.8639501770840415,6.269284963607788
Rand->CutMix,1,31.44,2.230860770503177,3.170677900314331
Rand->CutMix,2,36.97,2.1207742751399175,2.987092971801758
Rand->CutMix,3,41.72,2.0405468895465515,2.9784929752349854
Rand->CutMix,4,47.38,1.984661041935788,3.020516872406006
Rand->CutMix,5,46.4,1.9740632531009144,2.9913899898529053
Rand->CutMix,6,46.98,1.9347396077989023,3.080517292022705
Rand->CutMix,7,50.82,1.9118368565281736,2.9448390007019043
Rand->CutMix,8,50.21,1.9290171590032457,3.018738031387329
Rand->CutMix,9,51.61,1.8542301669905457,2.9942588806152344
Rand->CutMix,10,52.75,1.8371629398080367,2.938202142715454
Rand->CutMix,11,54.03,1.8392958761770515,3.1378750801086426
Rand->CutMix,12,55.06,1.810019396528413,2.955483913421631
Rand->CutMix,13,54.27,1.7986136161828343,3.1111700534820557
Rand->CutMix,14,57.07,1.8169215027290055,2.995788097381592
Rand->CutMix,15,56.84,1.805181263368341,2.9436652660369873
Rand->CutMix,16,58.1,1.7814683446401283,3.02742600440979
Rand->CutMix,17,57.24,1.7475140879425821,2.942701816558838
Rand->CutMix,18,59.32,1.7167339174053338,2.9841017723083496
Rand->CutMix,19,55.75,1.7401491901542567,2.932935953140259
Rand->CutMix,20,58.9,1.7232257550275778,2.9722249507904053
Rand->CutMix,21,59.59,1.7220993932289412,2.9482760429382324
Rand->CutMix,22,60.53,1.7073717615272426,3.1861538887023926
Rand->CutMix,23,61.28,1.6793520073347454,3.043384075164795
Rand->CutMix,24,59.08,1.6963860852808892,2.9290008544921875
Rand->CutMix,25,61.69,1.7203522407555882,2.963496208190918
Trivial->Albument,1,33.09,2.1376869376701646,3.0295820236206055
Trivial->Albument,2,43.44,1.9061973155299319,3.0441157817840576
Trivial->Albument,3,45.29,1.823392066774489,2.970182180404663
Trivial->Albument,4,49.18,1.7762805721427821,3.1264450550079346
Trivial->Albument,5,48.57,1.7264426343048676,3.0131452083587646
Trivial->Albument,6,50.28,1.7072902510437784,3.205979824066162
Trivial->Albument,7,52.14,1.6880653447742704,2.9934630393981934
Trivial->Albument,8,53.61,1.6464950781834276,3.099216938018799
Trivial->Albument,9,55.19,1.5930382300026809,3.110250949859619
Trivial->Albument,10,54.78,1.5931890840771832,3.1958231925964355
Trivial->Albument,11,57.13,1.5810700277738934,3.1270639896392822
Trivial->Albument,12,57.12,1.5123449232004866,3.1359589099884033
Trivial->Albument,13,56.63,1.495377324804475,2.9456310272216797
Trivial->Albument,14,57.06,1.4822827622860293,3.0065531730651855
Trivial->Albument,15,59.61,1.4654499639438678,3.085787296295166
Trivial->Albument,16,59.62,1.4466631208794027,2.9792959690093994
Trivial->Albument,17,60.09,1.4174175639695759,3.0391926765441895
Trivial->Albument,18,60.34,1.4103671553768689,2.9639158248901367
Trivial->Albument,19,61.32,1.390043219433555,3.030488967895508
Trivial->Albument,20,60.4,1.3481505860256244,3.0377848148345947
