Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Albument->CutMix,15,45.17,1.8690570414066314,1.6100859642028809
Albument->CutMix,16,46.87,1.7952812969684602,1.6778430938720703
Albument->CutMix,17,46.21,1.7531445443630218,1.6634278297424316
Albument->CutMix,18,48.02,1.7852138698101043,1.9741051197052002
Albument->CutMix,19,45.47,1.8203857779502868,1.7072031497955322
Albument->CutMix,20,49.68,1.7702561438083648,1.6006901264190674
Albument->CutMix,21,48.06,1.8201525688171387,1.9930379390716553
Albument->CutMix,22,48.22,1.724998563528061,1.6993408203125
Albument->CutMix,23,48.97,1.7365769147872925,1.649289846420288
Albument->CutMix,24,48.27,1.7059981167316436,1.694422960281372
Albument->CutMix,25,49.21,1.6764138758182525,1.6224918365478516
AugMix->CutMix,1,24.47,2.263745200634003,2.729828119277954
AugMix->CutMix,2,29.72,2.162432688474655,2.3727638721466064
AugMix->CutMix,3,31.7,2.070302075147629,2.4458320140838623
AugMix->CutMix,4,34.81,2.063488280773163,2.45766019821167
AugMix->CutMix,5,36.54,1.9935815811157227,2.416156053543091
AugMix->CutMix,6,37.01,1.9422348380088805,2.747652769088745
AugMix->CutMix,7,41.26,1.896689784526825,2.7033262252807617
AugMix->CutMix,8,40.57,1.9070665180683135,2.835397243499756
AugMix->CutMix,9,40.38,1.8821072638034821,2.5458831787109375
AugMix->CutMix,10,42.25,1.8564716219902038,2.5626680850982666
AugMix->CutMix,11,42.44,1.846172046661377,2.9132649898529053
AugMix->CutMix,12,44.83,1.7941836953163146,2.798823118209839
AugMix->CutMix,13,44.72,1.7656938135623932,2.538673162460327
AugMix->CutMix,14,44.91,1.7774002969264984,2.6287600994110107
AugMix->CutMix,15,45.72,1.738435685634613,2.555692195892334
AugMix->CutMix,16,44.32,1.7448306560516358,2.4824249744415283
AugMix->CutMix,17,46.43,1.673121416568756,2.425668716430664
AugMix->CutMix,18,44.73,1.6118064284324647,2.60794997215271
AugMix->CutMix,19,47.19,1.6146545171737672,2.471312999725342
AugMix->CutMix,20,47.16,1.6303067326545715,2.541774034500122
AugMix->CutMix,21,45.41,1.5649665474891663,2.4854979515075684
AugMix->CutMix,22,46.0,1.5735067188739777,2.597882032394409
AugMix->CutMix,23,45.9,1.4207870095968247,2.4490890502929688
AugMix->CutMix,24,45.62,1.4543597877025605,2.501377582550049
AugMix->CutMix,25,46.07,1.5001369804143905,2.6280128955841064
Albument->Rand,1,27.33,2.176231014728546,1.7512590885162354
Albument->Rand,2,33.0,1.937495267391205,1.688669204711914
Albument->Rand,3,37.45,1.8110606789588928,1.7864389419555664
Albument->Rand,4,38.05,1.688270342350006,1.7596337795257568
Albument->Rand,5,41.23,1.6075754404067992,1.687126636505127
Albument->Rand,6,43.15,1.5227225959300994,1.7535450458526611
Albument->Rand,7,43.63,1.4613824307918548,1.6736280918121338
Albument->Rand,8,43.48,1.403640478849411,2.0361499786376953
Albument->Rand,9,45.83,1.3288179278373717,1.6926770210266113
Albument->Rand,10,45.31,1.3048945248126984,1.6001830101013184
Albument->Rand,11,46.5,1.2545356810092927,1.587287187576294
Albument->Rand,12,44.45,1.2216207414865494,1.6287291049957275
Albument->Rand,13,48.24,1.218184804916382,1.718062162399292
Albument->Rand,14,48.0,1.0768461883068086,1.668287992477417
Albument->Rand,15,49.22,1.0352990180253983,2.477786064147949
Albument->Rand,16,49.08,0.9631667613983155,1.857917070388794
Albument->Rand,17,49.51,0.9376962423324585,1.8991820812225342
Albument->Rand,18,50.58,0.8809073507785797,1.687831163406372
Albument->Rand,19,50.12,0.8671348929405213,1.6974740028381348
Albument->Rand,20,49.08,0.8137957811355591,1.755551815032959
Albument->Rand,21,47.56,0.7607286751270295,1.6010749340057373
Albument->Rand,22,49.15,0.7732389539480209,1.6458368301391602
Albument->Rand,23,50.75,0.7202903792262078,1.746572732925415
Albument->Rand,24,50.39,0.700302031636238,1.8234682083129883
Albument->Rand,25,50.99,0.6349500700831413,1.7281720638275146
AugMix->Rand,1,30.54,2.1550958096981048,3.2871739864349365
AugMix->Rand,2,33.62,1.8709655821323394,3.106624126434326
AugMix->Rand,3,38.15,1.7009873688220978,2.515516996383667
AugMix->Rand,4,41.34,1.5185974955558776,2.435508966445923
AugMix->Rand,5,42.04,1.4157840430736541,2.3384439945220947
AugMix->Rand,6,40.57,1.3551250517368316,2.4366559982299805
AugMix->Rand,7,42.6,1.242280650138855,2.5384938716888428
AugMix->Rand,8,44.57,1.0887503534555436,2.4252068996429443
AugMix->Rand,9,45.16,1.0029037177562714,2.3876900672912598
AugMix->Rand,10,44.54,0.866848549246788,2.371946096420288
AugMix->Rand,11,45.96,0.7746306240558625,2.4396491050720215
AugMix->Rand,12,45.42,0.6843659102916717,2.3612358570098877
AugMix->Rand,13,46.04,0.6382660359144211,2.3379149436950684
AugMix->Rand,14,44.19,0.5193666607141495,2.435575008392334
AugMix->Rand,15,46.23,0.4353561192750931,2.404412031173706
AugMix->Rand,16,44.98,0.3940135732293129,2.399332046508789
AugMix->Rand,17,45.94,0.2969514958560467,2.398264169692993
AugMix->Rand,18,47.17,0.28406974002718927,2.3997461795806885
AugMix->Rand,19,43.9,0.25209798514842985,3.1192400455474854
AugMix->Rand,20,45.56,0.29975079372525215,2.5140509605407715
AugMix->Rand,21,44.49,0.22327926754951477,2.3704988956451416
AugMix->Rand,22,45.38,0.23719806000590324,2.3610658645629883
AugMix->Rand,23,46.41,0.1847608581185341,2.354503870010376
AugMix->Rand,24,45.95,0.16637851297855377,2.551738977432251
AugMix->Rand,25,44.79,0.16566434688866138,2.3663320541381836
Albument->Trivial,1,25.82,2.185839557647705,1.6195898056030273
Albument->Trivial,2,36.77,1.908394354581833,1.6081998348236084
Albument->Trivial,3,40.42,1.7130515038967133,1.5988242626190186
Albument->Trivial,4,38.27,1.618268471956253,1.6136631965637207
Albument->Trivial,5,43.81,1.5657098829746245,1.6289098262786865
Albument->Trivial,6,40.29,1.450687289237976,1.597141981124878
Albument->Trivial,7,46.53,1.3877230346202851,1.690096139907837
Albument->Trivial,8,46.06,1.3355937659740449,1.6958646774291992
Albument->Trivial,9,46.25,1.2763992726802826,1.6971850395202637
Albument->Trivial,10,47.44,1.2201917946338654,1.5983023643493652
Albument->Trivial,11,46.18,1.168178704380989,1.5809638500213623
Albument->Trivial,12,48.81,1.1697471350431443,1.767915964126587
Albument->Trivial,13,47.83,1.0744915843009948,1.8135700225830078
Albument->Trivial,14,48.91,1.0235519647598266,1.5908870697021484
Albument->Trivial,15,49.68,0.9450736463069915,1.6887691020965576
Albument->Trivial,16,50.25,0.8994182378053666,1.6411998271942139
Albument->Trivial,17,50.87,0.8398578137159347,1.5941953659057617
Albument->Trivial,18,49.77,0.7968690276145936,1.6517298221588135
Albument->Trivial,19,50.62,0.7627938687801361,1.5950901508331299
Albument->Trivial,20,51.43,0.7332825630903244,1.5969159603118896
Albument->Trivial,21,50.68,0.7254048943519592,1.5981378555297852
Albument->Trivial,22,48.3,0.6542163148522377,1.5968477725982666
Albument->Trivial,23,51.17,0.6786179155111313,1.6280760765075684
Albument->Trivial,24,51.24,0.6195806607604026,1.5887517929077148
Albument->Trivial,25,52.13,0.5715729042887687,1.7545311450958252
AugMix->Trivial,1,31.38,2.146887642145157,2.396651029586792
AugMix->Trivial,2,31.45,1.8117439031600953,2.4898197650909424
AugMix->Trivial,3,39.49,1.6393973529338837,3.0376179218292236
AugMix->Trivial,4,41.36,1.463621085882187,2.410606861114502
AugMix->Trivial,5,40.11,1.3209726154804229,3.1581220626831055
AugMix->Trivial,6,42.93,1.2431589722633363,2.725804090499878
AugMix->Trivial,7,43.78,1.1184200882911681,2.7085797786712646
AugMix->Trivial,8,44.52,0.9763020724058151,2.4137938022613525
AugMix->Trivial,9,43.34,0.8501064568758011,3.0278801918029785
AugMix->Trivial,10,45.03,0.7626433938741684,3.21246075630188
AugMix->Trivial,11,43.95,0.714275348186493,2.5530941486358643
AugMix->Trivial,12,43.99,0.589433716237545,2.3831968307495117
AugMix->Trivial,13,46.88,0.4972536966204643,3.714768886566162
AugMix->Trivial,14,43.81,0.37622620686888697,2.9577062129974365
AugMix->Trivial,15,45.99,0.34405103623867034,3.297546863555908
AugMix->Trivial,16,45.81,0.2671426601707935,2.75978422164917
AugMix->Trivial,17,45.46,0.24779896810650826,3.2992920875549316
AugMix->Trivial,18,44.32,0.25574940294027326,2.797739028930664
AugMix->Trivial,19,45.99,0.2429727390408516,2.5715858936309814
